true_class,predicted_class,count
Russian Blue,Leonberger,2
Maine Coon,Samoyed,2
Maine Coon,Russian Blue,2
Staffordshire Bull Terrier,Chihuahua,2
Bombay,English Cocker Spaniel,2
Birman,Sphynx,2
Bombay,Sphynx,2
English Setter,Ragdoll,2
English Setter,Pomeranian,2
English Setter,Maine Coon,2
Scottish Terrier,Sphynx,2
Scottish Terrier,Siamese,2
Maine Coon,Ragdoll,2
Maine Coon,Pug,2
Maine Coon,Leonberger,2
Maine Coon,Havanese,2
Miniature Pinscher,Egyptian Mau,2
Miniature Pinscher,British Shorthair,2
Miniature Pinscher,Bengal,2
Miniature Pinscher,Beagle,2
Wheaten Terrier,English Cocker Spaniel,2
Wheaten Terrier,Egyptian Mau,2
Boxer,Egyptian Mau,2
English Cocker Spaniel,Yorkshire Terrier,2
English Cocker Spaniel,Sphynx,2
English Setter,Shiba Inu,2
English Setter,Samoyed,2
Staffordshire Bull Terrier,English Cocker Spaniel,2
Staffordshire Bull Terrier,Egyptian Mau,2
Basset Hound,Bengal,2
American Pit Bull Terrier,Staffordshire Bull Terrier,2
Beagle,American Pit Bull Terrier,2
Maine Coon,Wheaten Terrier,2
Maine Coon,Sphynx,2
Russian Blue,English Setter,2
Russian Blue,American Pit Bull Terrier,2
Russian Blue,Abyssinian,2
Ragdoll,Sphynx,2
Miniature Pinscher,Wheaten Terrier,2
Miniature Pinscher,Staffordshire Bull Terrier,2
Shiba Inu,German Shorthaired,2
English Setter,German Shorthaired,2
Bombay,Siamese,2
Bombay,Scottish Terrier,2
Bombay,Saint Bernard,2
Bombay,Pomeranian,2
Boxer,Pomeranian,2
Miniature Pinscher,Russian Blue,2
Miniature Pinscher,Pomeranian,2
Miniature Pinscher,Japanese Chin,2
Miniature Pinscher,Havanese,2
Newfoundland,Keeshond,2
Newfoundland,English Setter,2
American Pit Bull Terrier,Chihuahua,2
Shiba Inu,Staffordshire Bull Terrier,2
English Cocker Spaniel,Boxer,2
Egyptian Mau,Shiba Inu,2
Egyptian Mau,Ragdoll,2
English Cocker Spaniel,Saint Bernard,2
English Cocker Spaniel,Pug,2
Wheaten Terrier,Pomeranian,2
Wheaten Terrier,Leonberger,2
Wheaten Terrier,Japanese Chin,2
Wheaten Terrier,German Shorthaired,2
Newfoundland,English Cocker Spaniel,2
Newfoundland,American Bulldog,2
Newfoundland,Abyssinian,2
Ragdoll,Saint Bernard,2
Ragdoll,Russian Blue,2
Sphynx,Pomeranian,2
Sphynx,Persian,2
British Shorthair,Chihuahua,2
British Shorthair,Bengal,2
Egyptian Mau,Havanese,2
Siamese,Egyptian Mau,2
Siamese,Abyssinian,2
Ragdoll,Pomeranian,2
Ragdoll,Egyptian Mau,2
Ragdoll,Chihuahua,2
Persian,Egyptian Mau,2
Persian,British Shorthair,2
Persian,Bombay,2
Persian,Bengal,2
Persian,Scottish Terrier,2
Persian,Saint Bernard,2
Chihuahua,Maine Coon,2
Siamese,Staffordshire Bull Terrier,2
Egyptian Mau,Persian,2
Egyptian Mau,Keeshond,2
Staffordshire Bull Terrier,Beagle,2
Sphynx,Russian Blue,2
Sphynx,Pug,2
Persian,Pug,2
Persian,Havanese,2
Persian,German Shorthaired,2
Pomeranian,English Setter,2
Pomeranian,Chihuahua,2
Pomeranian,Beagle,2
American Pit Bull Terrier,Abyssinian,2
American Bulldog,Staffordshire Bull Terrier,2
American Bulldog,Siamese,2
American Bulldog,Shiba Inu,2
Sphynx,Great Pyrenees,2
Sphynx,Egyptian Mau,2
British Shorthair,Yorkshire Terrier,2
British Shorthair,Wheaten Terrier,2
Chihuahua,Wheaten Terrier,2
Chihuahua,Ragdoll,2
British Shorthair,Saint Bernard,2
British Shorthair,Havanese,2
Chihuahua,English Setter,2
British Shorthair,American Pit Bull Terrier,2
Boxer,Shiba Inu,2
American Bulldog,Samoyed,2
American Pit Bull Terrier,Samoyed,2
American Pit Bull Terrier,Pug,2
American Pit Bull Terrier,Persian,2
American Pit Bull Terrier,Miniature Pinscher,2
Ragdoll,Bengal,2
Pug,Wheaten Terrier,2
Pug,Staffordshire Bull Terrier,2
Abyssinian,English Cocker Spaniel,2
Abyssinian,German Shorthaired,2
Abyssinian,Basset Hound,2
Abyssinian,Boxer,2
Yorkshire Terrier,Sphynx,2
Abyssinian,Havanese,2
Abyssinian,Beagle,1
Abyssinian,Japanese Chin,1
Abyssinian,Russian Blue,1
Abyssinian,Scottish Terrier,1
Abyssinian,Sphynx,1
American Pit Bull Terrier,Russian Blue,1
American Pit Bull Terrier,Leonberger,1
American Pit Bull Terrier,British Shorthair,1
Wheaten Terrier,Newfoundland,1
Wheaten Terrier,Miniature Pinscher,1
Wheaten Terrier,Keeshond,1
Basset Hound,Great Pyrenees,1
Basset Hound,British Shorthair,1
American Pit Bull Terrier,Siamese,1
American Pit Bull Terrier,Scottish Terrier,1
Basset Hound,Yorkshire Terrier,1
Basset Hound,Wheaten Terrier,1
Basset Hound,Staffordshire Bull Terrier,1
Basset Hound,Siamese,1
Basset Hound,Newfoundland,1
Beagle,Ragdoll,1
Pomeranian,German Shorthaired,1
Pomeranian,English Cocker Spaniel,1
Pomeranian,Egyptian Mau,1
Pomeranian,Boxer,1
Pomeranian,Bombay,1
Persian,Wheaten Terrier,1
Persian,Staffordshire Bull Terrier,1
Ragdoll,Abyssinian,1
Pug,Yorkshire Terrier,1
Pug,Shiba Inu,1
Pug,Scottish Terrier,1
Pug,Samoyed,1
Pug,Russian Blue,1
Pug,Persian,1
Pug,Newfoundland,1
Pug,Abyssinian,1
Newfoundland,Japanese Chin,1
Newfoundland,Great Pyrenees,1
Newfoundland,Basset Hound,1
Ragdoll,Leonberger,1
Ragdoll,German Shorthaired,1
Persian,English Setter,1
Persian,Boxer,1
Persian,Birman,1
Persian,Basset Hound,1
Persian,American Bulldog,1
Newfoundland,Yorkshire Terrier,1
Newfoundland,Saint Bernard,1
Persian,Sphynx,1
Persian,Shiba Inu,1
Persian,Newfoundland,1
Persian,Keeshond,1
Miniature Pinscher,Chihuahua,1
Miniature Pinscher,Birman,1
Maine Coon,Siamese,1
Russian Blue,English Cocker Spaniel,1
Russian Blue,Chihuahua,1
Russian Blue,Boxer,1
Russian Blue,Birman,1
Russian Blue,American Bulldog,1
Ragdoll,Yorkshire Terrier,1
Ragdoll,Wheaten Terrier,1
Ragdoll,Staffordshire Bull Terrier,1
Miniature Pinscher,Sphynx,1
Miniature Pinscher,Siamese,1
Miniature Pinscher,Pug,1
Miniature Pinscher,Persian,1
Miniature Pinscher,Keeshond,1
Leonberger,Great Pyrenees,1
Maine Coon,British Shorthair,1
Leonberger,Sphynx,1
Leonberger,Siamese,1
